pil1_1,pil2_1,pil3_1,pil4_1,pil5_1,pil6_1,pil7_1,pil8_1,pil9_1,pil10_1,pil11_1,pil12_1,pil13_1,pil14_1,pil15_1,pil16_1,pil17_1,pil18_1,pil19_1,pil20_1,song1_1,song2_1,song3_1,song4_1,song5_1,song6_1,song7_1,song8_1,song9_1,song10_1,song11_1,song12_1,song13_1,song14_1,song15_1,song16_1,song17_1,song18_1,song19_1,song20_1,mist1_1,mist2_1,mist3_1,mist4_1,mist5_1,mist6_1,mist7_1,mist8_1,mist9_1,mist10_1,mist11_1,mist12_1,mist13_1,mist14_1,mist15_1,mist16_1,mist17_1,mist18_1,mist19_1,mist20_1,pq1_1,pq2_1,pq3_1,pq4_1,pq5_1,pq6_1,pq7_1,pq8_1,piltotal,songtot,songa,songb,misttot,mista,mistb,mistc,pqtotal,lpq1_1,lpq2_1,lpq3_1,lpq4_1,lpq5_1,lpq6_1,lpq7_1,lpq8_1,lpq9_1,lpq10_1,lpq11_1,lpq12_1,lpq13_1,lpq14_1,lpq15_1,lpq16_1,lpq17_1,lpq18_1,lpq19_1,lpq20_1,lpqtotal,oq1_1,op2_1,oq3_1,oq4_1,oq5_1,oq6_1,oq7_1,oq8_1,oq9_1,oq10_1,oq11_1,oq12_1,oq13_1,oq14_1,oq15_1,oq16_1,oq17_1,oq18_1,oq19_1,oq20_1,oq21_1,oq22_1,oq23_1,oq24_1,oq25_1,oq26_1,oq27_1,oq28_1,oq29_1,oq30_1,oq31_1,oq32_1,oq33_1,oq34_1,oq35_1,oq36_1,oq37_1,oq38_1,oq39_1,oq40_1,oq41_1,oq42_1,oq43_1,oq44_1,oq45_1,oqtotal,oqsd,oqir,oqsr,sex,years,ethnicit,religiou,grades,pilstarr,pil5,pil15,factor1,factor2,factor3,pilf1mf,pilf2mf,pilf3mf,userid
5,5,5,5,4,5,6,5,5,5,5,5,6,4,4,3,5,4,5,5,4,4,5,4,6,6,6,4,2,5,3,2,5,3,5,2,3,3,6,4,4,3,5,5,5,6,5,2,5,5,3,4,2,4,6,1,1,7,6,4,3,3,3,3,3,3,3,3,96,82,47,35,83,26,33,24,24,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,16,1,1,1,2,2,2,1,0,1,1,0,1,1,2,1,2,1,1,1,1,1,2,1,1,1,0,2,1,2,1,1,0,2,2,0,1,1,1,1,1,0,0,2,0,2,49,28,12,9,2,27,1,1,4,82,25,71,29,15,31,34,15,25,logo1
5,3,6,2,2,6,7,5,5,5,3,3,3,6,3,6,5,3,3,3,4,6,5,6,5,7,7,6,5,5,2,3,4,4,5,6,5,5,4,6,6,6,6,6,5,6,4,5,7,3,5,3,3,6,6,3,3,4,7,1,2,0,-2,-1,-2,0,-1,-2,84,100,55,45,95,27,36,32,-6,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,8,1,2,2,3,3,3,2,0,3,3,1,3,2,1,2,1,3,4,2,2,2,3,3,0,3,2,1,2,0,1,2,0,2,1,0,3,3,2,1,2,2,3,2,1,1,85,47,23,15,1,19,1,1,3,68,18,66,23,14,26,28,14,19,logo2
6,7,6,7,6,6,7,6,7,7,7,7,7,6,6,6,7,2,6,6,4,3,4,2,2,5,6,2,2,6,2,2,2,2,6,3,2,5,2,5,7,6,6,6,6,6,6,6,6,3,6,4,6,6,6,7,6,4,6,2,-2,1,-2,-2,1,-2,1,-2,125,67,27,40,111,33,42,36,-7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,4,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,15,3,5,7,2,21,2,1,2.5,106,34,91,38,19,41,42,18,33,logo3
5,5,6,7,5,6,6,5,6,5,7,5,4,6,6,7,6,7,4,5,6,7,5,5,3,6,6,4,2,6,3,3,5,4,7,6,3,5,3,7,7,4,5,6,6,7,6,6,6,6,7,6,5,4,5,6,3,6,7,1,0,-1,1,0,2,2,2,3,113,96,47,49,109,38,41,30,9,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,17,0,3,2,2,2,1,3,0,1,1,0,1,0,1,0,2,4,1,1,0,0,2,0,0,1.2189349112426,2,1,3,0,0,0,1,0,2,3,1,1,2,1,2,1,1,3,0,1,53.2189349112426,25.2189349112426,17,11,1,19,2,1,3.93,95,31,82,30,17,36,38,16,30,logo4
6,6,7,7,2,5,6,5,5,4,6,5,6,6,4,7,6,1,6,7,4,1,4,3,4,1,3,1,1,3,5,1,4,5,1,5,2,5,1,2,5,5,4,4,4,7,7,1,6,7,6,7,4,1,7,7,4,7,7,2,-3,-3,3,3,3,3,3,3,107,56,32,24,102,38,34,30,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,19,0,1,2,2,1,1,0,0,0,0,0,4,1,3,0,0,0,2,0,0,0,2,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,28,8,5,15,2,23,2,1,2.4,91,31,76,30,20,33,31,19,29,logo5
6,5,6,7,2,6,5,6,5,7,7,7,7,7,2,7,7,4,7,7,4,6,2,1,4,6,7,1,1,7,1,1,1,1,5,4,4,1,1,5,7,4,7,6,3,7,7,3,5,7,1,7,4,6,4,7,1,7,5,7,2,0,2,3,3,3,0,0,117,63,24,39,105,30,45,30,13,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,15,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,.905604719764012,0,2,0,0,0,2,0,1.77151335311573,0,0,0,4,4,0,0,20.6771180728797,10,4.90560471976401,5.77151335311573,2,18,2,1,3.3,103,33,84,31,20,39,37,19,33,logo6
5,5,7,6,6,6,7,6,5,5,6,5,6,6,5,7,5,5,5,6,4,4,4,2,3,6,6,2,2,4,2,2,2,2,2,2,3,2,2,6,6,3,4,5,5,7,7,4,4,6,6,4,3,4,6,6,5,7,6,3,3,3,3,3,3,3,3,3,114,62,30,32,101,34,37,30,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,19,1,1,1,2,2,2,1,0,1,1,0,2,1,1,0,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,43,22,11,10,2,20,1,1,3,96,28,86,32,18,35,38,19,28,logo7
5,5,6,6,5,5,6,5,4,7,6,5,6,5,5,7,6,1,5,5,5,6,4,5,4,5,7,4,2,4,3,4,4,2,2,4,5,4,1,2,7,2,4,4,5,7,6,2,4,4,7,7,3,3,6,1,2,7,2,4,3,0,3,3,-3,3,-2,2,105,77,44,33,87,29,34,24,9,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,16,0,2,0,2,2,2,0,0,1,3,0,2,1,1,1,1,4,3,0,0,2,2,1,2,2,0,2,0,2,0,1,0,0,2,0,2,4,0,0,0,3,3,0,0,3,56,37,12,7,2,21,1,1,3.31,89,27,78,29,17,35,35,16,27,logo8
5,6,7,7,5,7,7,6,7,7,7,7,7,6,7,7,7,4,6,7,5,3,3,1,3,7,5,1,1,5,1,1,1,7,1,2,1,5,1,4,7,5,5,5,6,7,7,6,6,7,7,4,5,6,5,7,4,7,5,3,-3,-3,3,3,-3,3,-3,-3,129,58,24,34,114,36,43,35,-6,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,19,1,2,0,2,2,2,0,0,1,1,0,1,0,2,0,2,0,0,0,0,.958823529411765,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,3,23.9588235294118,15,3,5.95882352941176,2,19,1,1,3.9,109,35,94,35,21,42,42,20,33,logo9
5,6,6,6,6,7,6,6,7,7,7,5,6,7,5,6,7,5,5,6,5,4,3,3,4,4,6,2,5,5,4,3,3,5,6,5,4,5,3,6,7,5,6,7,5,6,6,6,6,4,5,6,5,6,7,4,5,6,5,2,3,2,3,3,2,2,0,2,121,85,43,42,109,31,44,34,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,18,1,0,0,0,1,1,1,0,1,2,0,2,1,1,1,2,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,24,10,10,4,1,19,1,1,3.87,103,33,88,35,19,38,42,18,30,logo10
