Question,Differences,Which Items Effected,Effect Before or After,Directly Effected After,Negative or Positive,Items Stronger Randomized,,,,,,,,
PIL 1,3,"2, 12, 15",After,Yes,2 Negative; 1 Positive,2 & 12,,,,,,,,
PIL 2,9,"1, 3, 4, 8, 9, 15, 18, 19, 20",1 Before & 8 After,Yes,8 Negative; 1 Positive,"1, 3, 4, 8, 9, 18, 19, 20",,,,,,,,
PIL 3,1,2,Before,No,1 Negative,2,,,,,,,,
PIL 4,2,"2, 15",1 Before & 1 After,No,1 Negative; 1 Positive,2,,,,,,,,
PIL 5,2,"9, 15",After,No,1 Negative; 1 Positive,9,,,,,,,,
PIL 6,2,"12, 15",After,No,2 Positive,N/A,,,,,,,,
PIL 7,2,"17, 19",After,No,2 Positive,N/A,,,,,,,,
PIL 8,1,2,Before,No,1 Negative,2,,,,,,,,
PIL 9,3,"2, 5, 15",2 Before & 1 After,No,2 Negative; 1 Positive,2 & 5,,,,,,,,
PIL 10,2,"12, 15",After,No,2 Positive,N/A,,,,,,,,
PIL 11,3,"12, 15, 20",After,Yes,3 Positive,N/A,,,,,,,,
PIL 12,6,"1, 6, 10, 11, 14, 20",4 Before & 2 After,No,2 Negative; 4 Positive,1 & 14,,,,,,,,
PIL 13,0,N/A,N/A,N/A,N/A,N/A,,,,,,,,
PIL 14,2,"12, 18",1 Before & 1 After,No,2 Negative,12 & 18,,,,,,,,
PIL 15,10,"1, 2, 4, 5, 6, 9, 10, 11, 17, 19",8 Before & 2 After,No,10 Positive,N/A,,,,,,,,
PIL 16,0,N/A,N/A,N/A,N/A,N/A,,,,,,,,
PIL 17,4,"7, 15, 18, 19",2 Before & 2 After,Yes,4 Positive,N/A,,,,,,,,
PIL 18,3,"2, 14, 17",Before,No,2 Negative; 1 Positive,2 & 14,,,,,,,,
PIL 19,5,"2, 7, 15, 17, 20",4 Before & 1 After,Yes,1 Negative; 4 Positive,2,,,,,,,,
PIL 20,4,"2, 11, 12, 19",Before,N/A,1 Negative; 3 Positive,2,,,,,,,,
LPQ 1,3,"11, 13, 18",After,No,1 Negative; 2 Positive,18,,,,,,,,
LPQ 2,1,6,After,No,1 Positive,N/A,,,,,,,,
LPQ 3,1,8,After,No,1 Negative,8,,,,,,,,
LPQ 4,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
LPQ 5,2,"6, 11",After,Yes,2 Positive,N/A,,,,,,,,
LPQ 6,2,"2, 5",Before,No,2 Positive,N/A,,,,,,,,
LPQ 7,3,"13, 18, 20",After,No,3 Positive,N/A,,,,,,,,
LPQ 8,2,"3, 20",Before & After,No,2 Negative,3 & 20,,,,,,,,
LPQ 9,2,"11, 13",After,No,2 Positive,N/A,,,,,,,,
LPQ 10,1,20,After,No,1 Positive,N/A,,,,,,,,
LPQ 11,4,"1, 5, 9, 12",Before & After,Yes,4 Positive,N/A,,,,,,,,
LPQ 12,2,"11, 13",Before & After,Yes,2 Positive,N/A,,,,,,,,
LPQ 13,6,"1, 7, 12, 15, 16",Before & After,No,6 Positive,N/A,,,,,,,,
LPQ 14,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
LPQ 15,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
LPQ 16,1,13,Before,No,1 Positive,N/A,,,,,,,,
LPQ 17,1,13,Before,No,1 Positive,N/A,,,,,,,,
LPQ 18,3,"1, 7, 20",Before & After,No,1 Negative; 2 Positive,1,,,,,,,,
LPQ 19,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
LPQ 20,4,"7, 8, 10, 18",Before,No,1 Negative; 3 Positive,8,,,,,,,,
,,,,,,,,,,,,,,
