V1,Source,lpq1_1,lpq2_1,lpq3_1,lpq4_1,lpq5_1,lpq6_1,lpq7_1,lpq8_1,lpq9_1,lpq10_1,lpq11_1,lpq12_1,lpq13_1,lpq14_1,lpq15_1,lpq16_1,lpq17_1,lpq18_1,lpq19_1,lpq20_1,YEAR
R_00dDd6Pb1EylBXL,random,2,2,1,1,2,1,2,1,2,1,2,2,1,2,2,2,1,1,2,1,2015
R_01ga0ctgD2jgUh7,random,2,2,1,1,1,1,1,1,2,2,2,2,1,2,1,2,1,1,2,2,2015
R_0213BnZ2Nqyxd3L,random,1,1,1,1,1,2,2,2,2,1,2,2,1,2,1,2,2,2,1,1,2015
R_021fCdNZaIZiVr7,random,2,2,1,1,2,1,1,2,2,1,2,2,1,2,1,2,1,1,2,1,2015
R_02oFXLHqmnF4HeN,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_06rEksFD7s3mjUF,not random,2,2,1,1,2,1,1,2,2,1,2,2,1,2,1,2,1,1,2,1,2015
R_06RY3zB3T4csLg9,not random,2,2,1,1,2,2,1,2,2,2,2,1,1,1,1,2,2,1,1,2,2015
R_06VbU6stxZMj9at,random,2,2,1,1,2,1,1,2,2,1,2,2,1,2,1,2,1,1,2,1,2015
R_06Vfqs3qW1XOqSV,random,2,2,1,1,2,2,1,2,2,1,2,2,1,2,2,2,1,1,2,1,2015
R_06WJgtPtP44M3E9,random,2,2,1,1,2,1,2,2,2,1,2,2,1,2,1,2,1,1,2,1,2015
R_07HgB5MDLLMVLNv,not random,2,2,1,1,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,1,2016
R_07lpgbn4whjN4aZ,not random,2,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2015
R_080uMoDl5j9khnv,not random,2,2,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,2015
R_08lxocwFO0zaNj7,random,2,2,1,1,2,1,2,1,2,1,2,2,1,2,1,2,1,1,2,1,2015
R_08nW9nInmDFRsnH,random,1,2,1,1,2,1,1,2,2,1,2,2,1,2,1,2,1,1,2,2,2015
R_08r7maIWvJBdv37,random,1,2,1,1,1,1,2,2,2,1,1,2,1,1,2,2,1,2,1,2,2015
R_094oeqamVkk4b8V,random,2,2,1,2,2,2,1,1,2,2,2,2,1,2,1,2,1,1,2,2,2015
R_0AFsjr073d8xOL3,random,2,2,1,1,2,2,1,1,1,2,1,1,1,2,1,1,1,2,2,1,2015
R_0ApFjLski3fg7LT,not random,2,2,1,1,2,2,1,2,2,1,2,1,2,2,2,2,1,2,2,1,2015
R_0BBUIk2Xfgv5mkd,not random,1,2,1,1,1,2,1,1,2,2,2,2,1,2,1,2,1,1,1,1,2015
R_0BVeCy6LCPq9nF3,not random,2,2,1,1,2,1,1,1,2,1,2,2,1,2,2,2,1,1,1,1,2015
R_0cfOJNCsStanZ6l,random,2,2,1,1,2,1,2,2,2,1,2,2,1,2,1,2,1,1,2,1,2015
R_0ChsRtYSZBjCNVj,random,1,2,1,1,2,2,1,1,2,2,1,1,1,1,1,2,2,1,2,1,2015
R_0cYsHL3c7yxsrNX,not random,2,2,1,1,2,2,1,1,2,1,1,2,1,1,1,2,2,1,2,1,2015
R_0D266McY1OmPKYZ,random,2,2,1,1,2,1,1,2,2,1,2,2,1,2,2,2,1,1,2,1,2015
R_0D2cCtB2aaiEiZn,not random,2,2,1,1,1,1,1,2,2,1,2,2,1,2,2,2,1,1,1,1,2015
R_0D7up01nkBtbSND,not random,2,2,1,1,2,2,1,2,2,1,2,2,1,2,2,2,1,1,2,1,2015
R_0dBletlrLvsYd3j,not random,2,2,1,1,2,2,1,2,2,2,2,2,1,2,1,2,1,1,2,2,2015
R_0DL7lgqzBx8YoDz,random,1,1,1,1,1,2,2,1,1,2,2,1,1,2,1,2,1,1,1,2,2015
R_0dqY1fyz3PgYDzL,random,2,2,1,2,2,2,1,2,1,1,2,2,1,2,2,1,2,1,1,2,2015
R_0e8aWSd3BDH2BOl,not random,2,2,1,1,2,1,2,2,2,1,2,1,2,1,1,2,1,1,2,1,2015
R_0ffGmq75WDdBEk5,random,2,2,2,1,1,1,1,1,2,2,2,2,1,2,1,2,1,1,2,2,2015
R_0fI3VbaUY3i0ZPT,not random,1,1,2,1,1,2,1,1,1,2,1,1,1,1,2,1,2,2,1,2,2015
R_0Gmi4ehDOVEn3Ux,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_0GqrNcJ1vGzXLWB,random,2,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,2015
R_0Gwuu0QxSAMxiPr,random,2,2,1,1,2,1,1,2,2,1,2,2,1,2,1,2,1,1,2,1,2015
R_0H7vEiFNGzhQsnz,random,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,2,2,2,1,2,2015
R_0H8rdix2DQCWiG1,random,2,2,1,1,1,2,2,2,2,1,2,2,1,2,2,2,1,1,2,1,2015
R_0HEy405dHQ969Vz,random,2,2,1,1,2,2,1,2,2,2,1,2,1,2,1,2,1,1,2,1,2015
R_0HOHhU5txph0MUR,random,1,2,1,1,2,1,1,2,2,2,2,2,1,1,1,2,2,1,2,1,2015
R_0HVZxcqPDxPURAR,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_0IA0g46QEPhGwux,random,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,1,1,1,1,2015
R_0iBIhR5XEOCWFZb,random,2,2,1,1,2,1,1,1,2,1,2,2,1,2,1,2,1,1,2,1,2015
R_0iDFfGuqxgVfDyl,not random,2,2,1,1,2,1,1,2,2,2,2,2,1,2,1,2,1,1,2,1,2015
R_0iGdAkFAQAf15V7,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_0IIWkJTKBeKBcjP,not random,1,1,1,1,1,2,1,2,2,1,2,2,1,1,1,2,1,2,1,2,2015
R_0JaXO8kiZV6aPWZ,not random,2,2,1,1,2,1,1,1,2,2,2,2,1,2,1,2,2,1,2,2,2015
R_0JS9BgFyuF66Zb7,random,1,2,1,1,1,2,1,1,2,1,2,2,1,2,2,2,1,1,1,2,2015
R_0kd8bZsdIk6Eo7j,random,2,2,1,1,2,1,1,1,2,1,1,2,1,2,2,2,1,1,1,1,2015
R_0keyvbKpck3X8IB,random,1,2,2,2,1,1,2,2,1,2,2,2,1,1,2,2,1,1,1,1,2015
R_0kMFLoLwlUuzSdX,not random,2,2,2,1,2,1,1,1,2,1,2,2,1,2,1,2,1,1,1,2,2015
R_0l9O99F4TJFBfal,random,1,1,1,1,1,2,1,1,2,1,2,1,1,2,1,2,1,1,1,2,2015
R_0lfVqgXbusApokl,random,2,2,1,1,1,1,1,2,2,2,2,2,1,2,1,2,1,1,2,1,2015
R_0NVTFyKY5KifT13,random,2,2,1,1,1,1,1,2,2,1,2,2,1,2,2,2,1,1,2,1,2015
R_0NwV1sTYhZ3AsSh,random,1,1,1,1,1,2,2,1,2,2,2,2,1,2,1,2,1,2,1,1,2015
R_0OjYtRz2vRCTPQp,random,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,2,2,2015
R_0oow0nXCWaNg1P7,random,2,2,1,1,2,2,1,2,2,1,2,2,1,2,1,2,1,1,2,2,2015
R_0OrcYUi1CRSwwsJ,random,1,2,1,2,2,2,1,1,1,2,2,1,1,2,1,1,1,1,1,2,2015
R_0OrZPJWX86Dm5Uh,random,2,1,1,2,1,2,2,2,1,2,1,1,1,1,1,2,1,2,1,2,2015
R_0P07yhP5g2Q5C1n,not random,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2015
R_0Pa6KSVd42thMVv,random,1,1,1,2,1,2,2,1,1,2,1,1,1,2,1,1,2,1,1,2,2015
R_0PcUS390A12w6cR,random,1,2,1,1,2,1,1,1,2,1,2,2,1,2,1,2,1,1,1,1,2015
R_0Pdc16ccYo9ifxb,not random,2,2,1,1,2,1,1,2,2,1,2,2,1,2,1,2,1,1,2,1,2015
R_0pLv6i1iH5t85iB,random,2,2,1,NA,2,1,1,2,2,1,2,2,1,2,2,2,1,1,1,1,2015
R_0pSNVE318diQC1b,random,1,1,2,2,1,2,2,1,1,2,2,1,1,1,1,2,2,1,1,2,2015
R_0PWPYbV1ijvGBuJ,random,1,2,1,1,2,1,2,1,2,2,1,2,1,2,1,2,1,1,2,2,2015
R_0qbsVxgmLSEoOnH,random,2,2,2,2,1,1,2,1,1,1,2,1,2,1,1,2,2,1,1,2,2015
R_0qg3I0CamwoFLUN,random,2,2,1,1,2,1,1,2,2,2,2,2,1,2,1,2,1,1,2,1,2015
R_0qv4NSwHHpBrGkV,random,1,1,1,1,1,1,1,2,1,1,2,1,1,2,2,2,1,1,1,1,2016
R_0qw8oqin3v8Y0hD,random,1,2,1,1,1,1,2,2,2,1,2,2,1,2,1,2,1,1,2,1,2015
R_0qWfswzoz4nUwQZ,random,2,2,1,1,2,1,1,2,2,1,2,2,1,2,1,2,1,1,2,1,2015
R_0qxmi8fgvzyiT65,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
R_0rDpRa3Fy7PiukR,random,2,2,1,1,2,1,1,1,2,2,1,2,1,1,1,2,1,1,2,1,2015
R_0SOYglMwHIQZUfH,not random,1,2,1,1,2,1,1,1,2,1,2,1,1,2,2,2,1,1,1,1,2015
R_0SQeqip4xl1bEC9,not random,2,2,1,1,2,1,1,2,2,1,2,2,1,2,2,2,1,1,2,1,2015
R_0SRNferwBvodte1,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_0SryrAlwB4eIKGx,random,2,2,1,1,2,1,1,2,2,1,2,2,1,1,1,2,1,1,2,1,2015
R_0StcAxALSpqJ2SN,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_0SvPY1OOuxKeZah,not random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
R_0TkZ2HMuwTYcwhn,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
R_0TUeR2uslixl3fX,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_0TUVMnsWB6p3d8F,random,2,2,2,1,2,2,1,1,1,2,2,2,1,1,1,2,1,1,2,1,2015
